Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Story,PKG-BE-G-04,(Packaging) suggestedRetailPriceByDPCI + waveDescription + retailPrice [PKG-BE-G-04],,Federate BreakDown Product,G,L,dgs-migration,packaging,field-resolver,,B-01,"apex, pricing, tag",To Do,"*Acceptance Criteria:*
1. price chain matches source; gate honored
2. wave tag fallback
3. `retailPrice`→0

*Test Cases:*
* [ ] price chain
* [ ] gate
* [ ] wave
* [ ] retailPrice

*Full story:* be-04-stories.md#PKG-BE-G-04"
Story,PKG-BE-G-05,(Packaging) Dieline + PrinterDieline + PackagingElement field resolvers [PKG-BE-G-05],,Federate BreakDown Product,G,M,dgs-migration,packaging,field-resolver,,B-01,"attachment, fileLibrary, packaging, search, user-profile",To Do,"*Acceptance Criteria:*
1. each field resolves to the right source

*Full story:* be-04-stories.md#PKG-BE-G-05"
Story,PRODUCT-BE-B-01,(Product) getProduct(id) [PRODUCT-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns product; 404→null
2. batches N ids in 1 call

*Full story:* be-04-stories.md#PRODUCT-BE-B-01"
Story,PRODUCT-BE-B-02,(Product) getProductsByIds(ids) [PRODUCT-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns paged products for ids
2. primes single-id loader

*Full story:* be-04-stories.md#PRODUCT-BE-B-02"
Story,PRODUCT-BE-B-03,(Product) getProductStatus (cacheable) [PRODUCT-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns statuses
2. cached

*Full story:* be-04-stories.md#PRODUCT-BE-B-03"
Story,PRODUCT-BE-B-04,(Product) getProductVersions(id) [PRODUCT-BE-B-04],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns versions

*Full story:* be-04-stories.md#PRODUCT-BE-B-04"
Story,PRODUCT-BE-B-05,(Product) getCopyStatus(id) [PRODUCT-BE-B-05],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns copy status

*Full story:* be-04-stories.md#PRODUCT-BE-B-05"
Story,PRODUCT-BE-B-06,(Product) getProductTemplateById(id) [PRODUCT-BE-B-06],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns product or empty object (not null)

*Full story:* be-04-stories.md#PRODUCT-BE-B-06"
Story,PRODUCT-BE-B-07,(Product) getProductRules [PRODUCT-BE-B-07],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns rules content

*Full story:* be-04-stories.md#PRODUCT-BE-B-07"
Story,PRODUCT-BE-B-08,(Product) getProductRulesById(id) [PRODUCT-BE-B-08],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns rule

*Full story:* be-04-stories.md#PRODUCT-BE-B-08"
Story,PRODUCT-BE-B-09,(Product) getAllAvailableRules [PRODUCT-BE-B-09],,Federate BreakDown Product,B,XS,dgs-migration,product,query,,,,To Do,"*Acceptance Criteria:*
1. returns available rules

*Full story:* be-04-stories.md#PRODUCT-BE-B-09"
Story,PRODUCT-BE-B-10,"(Product) getProductDeptRules(productIds, departmentIds, activeOnly) [PRODUCT-BE-B-10]",,Federate BreakDown Product,B,XS,dgs-migration,product,query,,SPIKE-07,,To Do,"*Requires spike:* SPIKE-07 (Product Rules API Ownership) — see program spike

*Acceptance Criteria:*
1. default `activeOnly=true`
2. flag selects the correct backend
3. Scope reconfirmed against `S-04`'s decision before implementation starts

*Full story:* be-04-stories.md#PRODUCT-BE-B-10"
Story,PRODUCT-BE-B-11,"(Product) getProductBPRules(productIds, businessPartnerIds, activeOnly) [PRODUCT-BE-B-11]",,Federate BreakDown Product,B,XS,dgs-migration,product,query,,SPIKE-07,,To Do,"*Requires spike:* SPIKE-07 (Product Rules API Ownership) — see program spike

*Acceptance Criteria:*
1. flag fork honored; BP filter applied
2. Scope reconfirmed against `S-04`'s decision before implementation starts

*Full story:* be-04-stories.md#PRODUCT-BE-B-11"
Story,PRODUCT-BE-C-01,(Product) getProducts(...) two-stage hydration [PRODUCT-BE-C-01],,Federate BreakDown Product,C,L,dgs-migration,product,search,,SPIKE-06a,,To Do,"*Requires spike:* SPIKE-06a (Hydration) — see program spike

*Acceptance Criteria:*
1. parity for 4 arg combos (no flags / all flags / resourceType=workspaces / filter array)
2. truthy defaults preserved
3. elastic flags merged onto canonical
4. Workspace-filter placement and elastic/canonical staleness handling match `SPIKE-06a`'s decision

*Test Cases:*
* [ ] 4 combos
* [ ] default truthiness
* [ ] merge
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PRODUCT-BE-C-01"
Story,PRODUCT-BE-C-02,(Product) getProductTemplates(...) [PRODUCT-BE-C-02],,Federate BreakDown Product,C,M,dgs-migration,product,search,,,,To Do,"*Acceptance Criteria:*
1. all 7 template-include flags forwarded
2. `types:[Int]` filter applied

*Full story:* be-04-stories.md#PRODUCT-BE-C-02"
Story,PRODUCT-BE-C-03,(Product) getCategories(...) [PRODUCT-BE-C-03],,Federate BreakDown Product,C,M,dgs-migration,product,search,,,,To Do,"*Acceptance Criteria:*
1. `snake_case(type)` path exact
2. wires to `Categories` union

*Full story:* be-04-stories.md#PRODUCT-BE-C-03"
Story,PRODUCT-BE-C-04,(Product) getRatingByTcin(tcin) (external rating) [PRODUCT-BE-C-04],,Federate BreakDown Product,C,M,dgs-migration,product,search,,,,To Do,"*Acceptance Criteria:*
1. parses statistics to `Rating`
2. any error → null
3. API key from config/Vault, not source

*Full story:* be-04-stories.md#PRODUCT-BE-C-04"
Story,PRODUCT-BE-C-05,(Product) searchProductRules(...) [PRODUCT-BE-C-05],,Federate BreakDown Product,C,M,dgs-migration,product,search,,SPIKE-07,,To Do,"*Requires spike:* SPIKE-07 (Product Rules API Ownership) — see program spike

*Acceptance Criteria:*
1. flag fork honored
2. legacy response transformed correctly
3. Scope reconfirmed against `S-04`'s decision before implementation starts

*Full story:* be-04-stories.md#PRODUCT-BE-C-05"
Story,PRODUCT-BE-D-01,(Product) addProduct [PRODUCT-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,product,mutation,,SPIKE-06b,,To Do,"*Requires spike:* SPIKE-06b (Cross-Domain Association) — see program spike

*Acceptance Criteria:*
1. creates product
2. optional copy runs when `copyProduct` present
3. workspace assoc applied via the shared association component (no bespoke fan-out code)
4. failure after create (link or copy fails) surfaces per the mutation's declared failure policy — default fail-fast, no rollback, documented (ADR-011 §4)

*Full story:* be-04-stories.md#PRODUCT-BE-D-01

*Complex — broken into sub-tasks:* D-01-1 workspace link via component

*Detailed cross-domain case:* complexStories/cross-domain-association/ (import cross-domain-association.csv for the sub-tasks)"
Story,PRODUCT-BE-D-02,(Product) addProducts (bulk) [PRODUCT-BE-D-02],,Federate BreakDown Product,D,M,dgs-migration,product,mutation,,SPIKE-06b,,To Do,"*Requires spike:* SPIKE-06b (Cross-Domain Association) — see program spike

*Acceptance Criteria:*
1. bulk creates
2. attachment links applied via the shared association component; no-rollback behaviour documented (compensation deferred to the shared `WriteSaga` module, `PRODUCT-BE-E-00`, per ADR-011 pin-down 2)
3. no resolver import remains; the formerly fire-and-forget attachment re-point is awaited and its failure visible (accepted deviations per ADR-011 §4)

*Full story:* be-04-stories.md#PRODUCT-BE-D-02

*Complex — broken into sub-tasks:* D-02-1 workspace link · D-02-2 attachment-metadata client call (replaces cross-resolver import)

*Detailed cross-domain case:* complexStories/cross-domain-association/ (import cross-domain-association.csv for the sub-tasks)"
Story,PRODUCT-BE-D-03,(Product) bulkUpdateProducts [PRODUCT-BE-D-03],,Federate BreakDown Product,D,M,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. mass-updates products

*Full story:* be-04-stories.md#PRODUCT-BE-D-03"
Story,PRODUCT-BE-D-04,(Product) updateProduct [PRODUCT-BE-D-04],,Federate BreakDown Product,D,M,dgs-migration,product,mutation,,SPIKE-06b,,To Do,"*Requires spike:* SPIKE-06b (Cross-Domain Association) — see program spike

*Acceptance Criteria:*
1. updates product
2. optional copy
3. removed-template attachments archived (template branch)
4. attachment archiving applied via the shared association component (no bespoke fan-out code)

*Full story:* be-04-stories.md#PRODUCT-BE-D-04

*Complex — broken into sub-tasks:* D-04-1 template-attachment archiving via component

*Detailed cross-domain case:* complexStories/cross-domain-association/ (import cross-domain-association.csv for the sub-tasks)"
Story,PRODUCT-BE-D-05,(Product) carryForwardProduct [PRODUCT-BE-D-05],,Federate BreakDown Product,D,M,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. all input fields mapped to the request

*Full story:* be-04-stories.md#PRODUCT-BE-D-05"
Story,PRODUCT-BE-D-06,(Product) addTeamsToProduct 🔀 Collab Canvas [PRODUCT-BE-D-06],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. adds teams + new partners + workspace links
2. partner-add failure exits early with a thrown typed error (today `return new Error(...)` — standardized per ADR-011 §4 pin-down 4, accepted deviation); teams are not added after a failed partner add (legacy order preserved)

*Full story:* be-04-stories.md#PRODUCT-BE-D-06"
Story,PRODUCT-BE-D-07,(Product) addBusinessPartnersToProductWithType 🔀 Collab Canvas [PRODUCT-BE-D-07],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. adds partners with type
2. failure throws a typed `DgsException` instead of `return new Error(...)` (accepted parity deviation, ADR-011 §4 pin-down 4)

*Full story:* be-04-stories.md#PRODUCT-BE-D-07"
Story,PRODUCT-BE-D-08,(Product) removeProductResources [PRODUCT-BE-D-08],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. removes resources

*Full story:* be-04-stories.md#PRODUCT-BE-D-08"
Story,PRODUCT-BE-D-09,(Product) updateBusinessPartnerStatuses [PRODUCT-BE-D-09],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. updates partner statuses

*Full story:* be-04-stories.md#PRODUCT-BE-D-09"
Story,PRODUCT-BE-D-10,(Product) updateViewToggle [PRODUCT-BE-D-10],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. toggles hidden

*Full story:* be-04-stories.md#PRODUCT-BE-D-10"
Story,PRODUCT-BE-D-11,(Product) updateWorkspaceAttributes 🔀 Collab Canvas [PRODUCT-BE-D-11],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. updates workspace attrs

*Full story:* be-04-stories.md#PRODUCT-BE-D-11"
Story,PRODUCT-BE-D-12,(Product) updateProductTeamsWorkspaceContext [PRODUCT-BE-D-12],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. adds/removes team-workspace pairs

*Full story:* be-04-stories.md#PRODUCT-BE-D-12"
Story,PRODUCT-BE-D-13,(Product) linkProduct [PRODUCT-BE-D-13],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. links parent/child
2. backend error → exception (not null)

*Full story:* be-04-stories.md#PRODUCT-BE-D-13"
Story,PRODUCT-BE-D-14,(Product) unlinkProduct [PRODUCT-BE-D-14],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. unlinks parent/child

*Full story:* be-04-stories.md#PRODUCT-BE-D-14"
Story,PRODUCT-BE-D-18,(Product) updateComponentStatus (bulk) [PRODUCT-BE-D-18],,Federate BreakDown Product,D,XS,dgs-migration,product,mutation,,,,To Do,"*Acceptance Criteria:*
1. bulk-updates component statuses

*Full story:* be-04-stories.md#PRODUCT-BE-D-18"
Story,PRODUCT-BE-E-00,"(Product) WriteSaga shared module (Sprint 0, critical path) [PRODUCT-BE-E-00]",,Federate BreakDown Product,E,L,dgs-migration,product,complex,,SPIKE-01,,To Do,"*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Acceptance Criteria:*
1. `WriteSaga` executes ordered steps, stops at the first non-retryable failure, and runs declared compensations (in reverse order) for every already-completed step that has one
2. Every step's response is checked by construction — there is no code path where a step's result is silently ignored (closes ADR-013 pin-down 5)
3. `finish()` returns `COMMITTED` (all steps succeeded), `COMPENSATED` (a step failed, compensations ran, no net change), or `PARTIAL_FAILURE` (a step failed, some compensations don't exist or also failed) — always with per-step detail, never a bare generic error (ADR-013 pin-down 6; surfaced via GraphQL error extensions by each consumer)
4. Parallel fan-out steps isolate per-branch failures and aggregate a per-branch result — a `Promise.all`-style first-rejection-wins is not possible through this API (ADR-013 pin-down 7)
5. Compensation inventory completed and recorded before any consumer story starts: for every step kind in the §4-B policy table, confirm the declared inverse actually exists (workspace associate↔dissociate, relationship add↔remove); anything without a confirmed inverse defaults to `RECORD`, never assumed (ADR-013 pin-down 1 — this is a blocking pre-condition on every consumer story, not optional polish)
6. Injected mid-sequence failures in unit tests yield `COMPENSATED` or `PARTIAL_FAILURE` with correct per-step detail for at least one `COMPENSATE`, one `RETRY`, and one `RECORD` step in the same saga run
7. Zero consumer-facing API changes are needed if a later step kind's policy is refined (e.g. Option D's backend-composed atomic endpoints replace a saga step with one call) — the saga's public contract is step-name + action + compensation + policy, nothing consumer-specific leaks in
8. This story ships alone — no domain's E-phase mutation story is modified here; `MST-BE-E-01` (`updateMeasurement`, the smallest real case) is the designated pilot adopter in its own story, followed by `BOM-BE-E-01`, `PKG-BE-E-01`, `PDTL-BE-E-01`, `WATCHLIST-BE-E-01`, `CLAIM-BE-E-01`, `PRODUCT-BE-E-02`, and the later-phase sample mutations, each per their own story's acceptance criteria

*Test Cases:*
* [ ] Unit: a 3-step saga where step 2 fails → step 1's compensation runs, step 3 never runs, result is `COMPENSATED`
* [ ] Unit: a step with `RETRY(n)` policy fails `n` times then still fails → result is `PARTIAL_FAILURE` with that step's detail
* [ ] Unit: a step with `RECORD` policy fails → saga continues past it (not a hard stop), failure recorded in per-step detail
* [ ] Unit: a step declares `COMPENSATE` but its own compensation call also fails → surfaced as `PARTIAL_FAILURE`, not silently swallowed
* [ ] Unit: a 5-branch parallel fan-out where 1 branch fails → the other 4 branches' results are still returned, aggregated
* [ ] Integration: compensation inventory checklist (pin-down 1) run and recorded against real backend endpoints before this story closes

*Full story:* be-04-stories.md#PRODUCT-BE-E-00

*Complex — broken into sub-tasks:* E-00-1 ordered-steps + policy engine · E-00-2 default policy table + compensation inventory

*Detailed cross-domain case:* complexStories/non-atomic-write-saga/ (import non-atomic-write-saga.csv for the sub-tasks)"
Story,PRODUCT-BE-E-01,(Product) productBusinessPartnerActions (REMOVE/DROP/UNDROP) [PRODUCT-BE-E-01],,Federate BreakDown Product,E,XL,dgs-migration,product,complex,,"SPIKE-03, E-00",,To Do,"*Requires spike:* SPIKE-03 (Partner Drop/Undrop + Ownership) — see program spike

*Acceptance Criteria:*
1. all 3 paths reach REST parity (recorded fixtures), incl. the design-partner branch (`skipSamples` when `partnerType == DESIGN_PARTNER`)
2. partial-failure compensation log/strategy implemented per `SPIKE-03`'s decision (draft ADR-012: per-step policy — partner-status compensate · ACL retry-then-fail · activity/profile retry+reconcile)
3. cleanup fan-out runs per case, with per-target failure isolation (one cleanup failing is visible and doesn't silently swallow the others)
4. on DROP, ACL revocation completes **before** the mutation returns success; on UNDROP, ACL restore precedes participant undrops — proven by an automated test, not convention (ADR-012 §4 ordering constraint)
5. no Relationship-Service traversal and no `UserProfileAttributes` resolver import remain in the ported flow (replaced by participant enumeration + a user-profile client call). > **Note:** ADR-012 pin-down 4 (async-refinement scope — recentlyViewed/todo/favorite/user-profile only, never > ACL or partner status) and pin-down 6 (keep the `actionType` dispatcher shape for phase-1 parity; splitting > is a v2 API question) are scope/architecture statements, not independently testable behavior — no dedicated > AC needed; honored by construction in the service shape above

*Test Cases:*
* [ ] REMOVE
* [ ] DROP
* [ ] UNDROP
* [ ] design-partner branch (samples skipped)
* [ ] partial-failure per step
* [ ] ACL-before-return ordering invariant
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PRODUCT-BE-E-01

*Complex — broken into sub-tasks:* E-01-1 orchestrator + fan-out · E-01-2 ACL drop + user-profile · E-01-3 saga + parity harness

*Detailed cross-domain case:* complexStories/partner-drop-undrop-write/ (import partner-drop-undrop-write.csv for the sub-tasks)"
Story,PRODUCT-BE-E-02,(Product) updateComponentStatuses (5-loader fan-out) [PRODUCT-BE-E-02],,Federate BreakDown Product,E,L,dgs-migration,product,complex,,"SPIKE-01, E-00",,To Do,"*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Acceptance Criteria:*
1. per-loader failures don't fail siblings
2. shadow var fixed
3. parity

*Test Cases:*
* [ ] 5-way fan-out
* [ ] partial failure isolation
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PRODUCT-BE-E-02

*Complex — broken into sub-tasks:* E-02-1 loader scaffold + status updates · E-02-2 parity + count validation"
Story,PRODUCT-BE-E-03,"(Product) getProductTechPackCountV1 stub + aggregation facade (facade-then-federate, Phase 1) [PRODUCT-BE-E-03]",,Federate BreakDown Product,E,XL,dgs-migration,product,complex,,SPIKE-02,,To Do,"*Requires spike:* SPIKE-02 (TechPack Aggregate) — see program spike

*Acceptance Criteria:*
1. Returns a fully populated 11-field `ResourcesCount` from the facade for a valid `(productId, partnerId, workspaceContext, parentProductId)` input
2. `@DgsEntityFetcher(name=""ResourcesCount"")` reconstructs the entity from key + context on an `_entities` query (federation-ready shell)
3. Recorded-fixture parity vs `spark-internal-graphql` for ≥ 5 pinned inputs, including: a product **with a parent** (double-walk), > 100 walked ids (chunked ACL), a 3D attachment, and a critical thread whose parent discussion is outside the walk — 100% field-value match modulo the ADR-015 §4 deviation list (parallelized elastic/ACL calls; counts unchanged)
4. Facade is observable: per-slice latency + error metrics and a health endpoint exist (they gate the `H-01`–`H-05` re-homings and the `F-09` retirement check)
5. Facade is behavior-frozen: deviations limited to ADR-015 §4 pin-downs; `CODEOWNERS` guard in place so new feature work lands in the owning domain's `F0x` story instead

*Test Cases:*
* [ ] facade call returns 11 populated fields
* [ ] entity fetcher via `_entities`
* [ ] parity ≥ 5 pinned inputs (incl. parent double-walk, >100 ids, 3D attachment, out-of-walk critical thread)
* [ ] per-slice metrics emitted
* [ ] Integration: full query via DGS test client returns expected shape

*Full story:* be-04-stories.md#PRODUCT-BE-E-03

*Complex — broken into sub-tasks:* E-03 thin stub + aggregation facade

*Detailed cross-domain case:* complexStories/techpack/ (import techpack.csv for the sub-tasks)"
Story,PRODUCT-BE-E-04,"(Product) getProductTechPackBulkCountV1 (bulk wrapper, ordering fix) [PRODUCT-BE-E-04]",,Federate BreakDown Product,E,XL,dgs-migration,product,complex,,"SPIKE-02, E-03",,To Do,"*Requires spike:* SPIKE-02 (TechPack Aggregate) — see program spike

*Acceptance Criteria:*
1. `bulk(P1..Pn) == [single(P1)..single(Pn)]` in input order
2. empty list → []

*Test Cases:*
* [ ] order preserved
* [ ] empty
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PRODUCT-BE-E-04

*Complex — broken into sub-tasks:* E-04 bulk wrapper (input-ordered)

*Detailed cross-domain case:* complexStories/techpack/ (import techpack.csv for the sub-tasks)"
Story,PRODUCT-BE-F-04,"(Product) ResourcesCount.measurementSets (internal, from Measurement) [PRODUCT-BE-F-04]",,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,E-03,,To Do,"*Acceptance Criteria:*
1. `measurementSets` resolves in-process; no gateway hop; parity vs facade

*Full story:* be-04-stories.md#PRODUCT-BE-F-04"
Story,PRODUCT-BE-F-06,"(Product) ResourcesCount.productBoms + packagingBoms + boms (internal, from BOM) [PRODUCT-BE-F-06]",,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,E-03,,To Do,"*Acceptance Criteria:*
1. `productBoms`/`packagingBoms`/`boms` resolve in-process; no gateway hop; parity vs facade

*Full story:* be-04-stories.md#PRODUCT-BE-F-06"
Story,PRODUCT-BE-F-08,"(Product) ResourcesCount.watchlists (internal, from Watchlist) [PRODUCT-BE-F-08]",,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,E-03,,To Do,"*Acceptance Criteria:*
1. `watchlists` resolves in-process; no gateway hop; parity vs facade

*Full story:* be-04-stories.md#PRODUCT-BE-F-08"
Story,PRODUCT-BE-F-09,(Product) Retire the TechPack aggregation facade [PRODUCT-BE-F-09],,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,"H-01, H-02, H-03, F-04, H-04, F-06, H-05, F-08",,To Do,"*Acceptance Criteria:*
1. all 11 `ResourcesCount` fields resolve via federation
2. facade health-check endpoint returns 404 (decommissioned)
3. no orphaned config (feature flags, Feign client beans, etc. referencing the retired facade)

*Full story:* be-04-stories.md#PRODUCT-BE-F-09"
Story,PRODUCT-BE-F-10,(Product) Hive Gateway supergraph composition [PRODUCT-BE-F-10],,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,"H-06, F-14",,To Do,"*Acceptance Criteria:*
1. supergraph composes
2. cross-subgraph smoke test passes
3. composition runs as a CI gate on every schema change (not a one-off) and fails on any `@key`/type-name mismatch between subgraphs (regression guard for federation-review/03 §R1–R5)
4. zero remaining contract mismatches: `VMM_BusinessPartner`/`VMM_Brand` keyed `id`; every entity keyed `id` (Claims/Packaging/Watchlist/Dieline synthesize `id` from humanId — program decision 2026-07-17); `ProductDetails`/`MeasurementPaged` names aligned

*Full story:* be-04-stories.md#PRODUCT-BE-F-10"
Story,PRODUCT-BE-F-11,(Product) Platform stub verification (VMM/IG/Doppler/CORONA/APEX) [PRODUCT-BE-F-11],,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,F-10,,To Do,"*Acceptance Criteria:*
1. each platform type resolves via its stub key

*Full story:* be-04-stories.md#PRODUCT-BE-F-11"
Story,PRODUCT-BE-F-12,(Product) Deferred partner-wrapper decision (drift mutations) [PRODUCT-BE-F-12],,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,E-01,,To Do,"*Acceptance Criteria:*
1. traffic survey complete
2. decision implemented

*Full story:* be-04-stories.md#PRODUCT-BE-F-12"
Story,PRODUCT-BE-F-14,"(Product) Cross-subgraph contract alignment (keys, type names, paged wrappers) [PRODUCT-BE-F-14]",,Federate BreakDown Product,F,XS,dgs-migration,product,field-resolver,,,,To Do,"*Acceptance Criteria:*
1. `plm-product` schema compiles standalone with every referenced type declared (including `TeamPaged`, `TeamPagedV2`, `WorkspacesPagedV2`, `DiscussionElastic`)
2. `hive compose` over plm-product + spark-claims + platform stubs reports zero key/name conflicts, including zero `@shareable` field-shape conflicts on `TeamPaged` (must match claims' declaration exactly)
3. `CORONA_ItemDetails` entity form implemented per the 2026-07-17 decision (keyed `tcinId`; Corona inflates via the gateway)
4. Blocks released: F-10, CLAIM-BE-H-01, CLAIM-BE-H-02

*Full story:* be-04-stories.md#PRODUCT-BE-F-14"
Story,PRODUCT-BE-H-01,"(Product) ResourcesCount.productAttachments + discussionAttachments (federated, from Attachment) [PRODUCT-BE-H-01]",,Federate BreakDown Product,H,M,dgs-migration,product,entity-resolver,,"E-03, attachment domain (⛔ cross-subgraph — does not ship until `plm-attachment` is live)",,To Do,"*Acceptance Criteria:*
1. `productAttachments`/`discussionAttachments` resolve on the federated `ResourcesCount`; the `E-03` facade stops populating them
2. Parity vs the facade for the same inputs
3. Field is live in prod only after `plm-attachment` is deployed (ship gate honored)

*Full story:* be-04-stories.md#PRODUCT-BE-H-01"
Story,PRODUCT-BE-H-02,"(Product) ResourcesCount.discussions (federated, from Discussion) [PRODUCT-BE-H-02]",,Federate BreakDown Product,H,M,dgs-migration,product,entity-resolver,,"E-03, discussion domain (⛔ cross-subgraph)",,To Do,"*Acceptance Criteria:*
1. `discussions` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after `plm-discussion` is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-02"
Story,PRODUCT-BE-H-03,"(Product) ResourcesCount.sample (federated, from Sample) [PRODUCT-BE-H-03]",,Federate BreakDown Product,H,M,dgs-migration,product,entity-resolver,,"E-03, sample domain (⛔ cross-subgraph)",,To Do,"*Acceptance Criteria:*
1. `sample` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after `plm-sample` is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-03"
Story,PRODUCT-BE-H-04,"(Product) ResourcesCount.claims (federated, from Claim) [PRODUCT-BE-H-04]",,Federate BreakDown Product,H,M,dgs-migration,product,entity-resolver,,"E-03, claim domain (⛔ cross-subgraph)",,To Do,"*Acceptance Criteria:*
1. `claims` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after `spark-claims` is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-04"
Story,PRODUCT-BE-H-05,"(Product) ResourcesCount.constructions (federated, from Construction) [PRODUCT-BE-H-05]",,Federate BreakDown Product,H,M,dgs-migration,product,entity-resolver,,"E-03, construction domain (⛔ cross-subgraph)",,To Do,"*Acceptance Criteria:*
1. `constructions` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after the construction subgraph is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-05"
Story,PRODUCT-BE-H-06,(Product) Product entity fetcher (@DgsEntityFetcher) for cross-subgraph references [PRODUCT-BE-H-06],,Federate BreakDown Product,H,M,dgs-migration,product,entity-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. `_entities` resolves `Product` representations with a single batched backend call
2. Unknown ids yield `null` entries without failing the whole `_entities` response
3. End-to-end: a claims-subgraph query `{ getClaims { product { description } } }` hydrates through the gateway (pairs with CLAIM-BE-G-03)
4. No ACL plumbing introduced

*Full story:* be-04-stories.md#PRODUCT-BE-H-06"
